"data","tipo","assunto","url_mai","url_cne","url_cne2","url_cne3","url_wikipedia"
1976-12-12,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=12&mes=12&ano=1976&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=12&mes=12&ano=1976&eleicao=am","raster/index.cfm?dia=12&mes=12&ano=1976&eleicao=af",
1979-12-16,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=16&mes=12&ano=1979&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=16&mes=12&ano=1979&eleicao=am","raster/index.cfm?dia=16&mes=12&ano=1979&eleicao=af",
1982-12-12,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=12&mes=12&ano=1982&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=12&mes=12&ano=1982&eleicao=am","raster/index.cfm?dia=12&mes=12&ano=1982&eleicao=af",
1985-12-15,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=15&mes=12&ano=1985&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=15&mes=12&ano=1985&eleicao=am","raster/index.cfm?dia=15&mes=12&ano=1985&eleicao=af",
1989-12-17,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=17&mes=12&ano=1989&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=17&mes=12&ano=1989&eleicao=am","raster/index.cfm?dia=17&mes=12&ano=1989&eleicao=af",
1993-12-12,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=12&mes=12&ano=1993&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=12&mes=12&ano=1993&eleicao=am","raster/index.cfm?dia=12&mes=12&ano=1993&eleicao=af",
1997-12-14,"Autárquicas",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=12&ano=1997&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=12&ano=1997&eleicao=am","raster/index.cfm?dia=14&mes=12&ano=1997&eleicao=af",
2001-12-16,"Autárquicas",,"http://www.eleicoes.mai.gov.pt/autarquicas2001/D230000/230000_CM.html","http://eleicoes.cne.pt/raster/index.cfm?dia=16&mes=12&ano=2001&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=16&mes=12&ano=2001&eleicao=am","raster/index.cfm?dia=16&mes=12&ano=2001&eleicao=af","http://pt.wikipedia.org/wiki/Eleições_autárquicas_portuguesas_de_2001"
2005-10-09,"Autárquicas",,"http://www.eleicoes.mai.gov.pt/Autarquicas2005/","http://eleicoes.cne.pt/raster/index.cfm?dia=09&mes=10&ano=2005&eleicao=cm","http://eleicoes.cne.pt/raster/index.cfm?dia=09&mes=10&ano=2005&eleicao=am","raster/index.cfm?dia=09&mes=10&ano=2005&eleicao=af","http://pt.wikipedia.org/wiki/Eleições_autárquicas_portuguesas_de_2005"
2007-07-15,"Autárquicas","Intercalares Lisboa","http://www.eleicoes.mai.gov.pt/autarquicas2007/",,,,
